st,rptdate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28
MO,4/30/2020,54794,0,29149,116759,113060,14817425,36017,0,862,0,0,0,0,0,0,0,0,0,0,0,0,9,14,1774,1320720,0,0,0
MO,5/31/2020,32245,28335,32482,371691,357184,48302342,15883,15117,11916,18,0,0,0,0,0,6,0,0,0,0,0,3833,7428,823644,1536790,0,0,0
MO,6/30/2020,20172,19861,20510,433854,412071,57973987,8999,9338,19245,107,0,8,0,0,0,31,0,4,0,0,0,4713,8218,3125857,1481696,5,28,10605
MO,7/31/2020,16611,16704,26438,367973,354389,51434983,8445,8740,11941,166,0,56,0,0,0,54,0,18,0,0,0,1390,1554,1028684,1255418,4,60,21523
MO,8/31/2020,8551,8170,8091,331705,318407,47071731,3183,3385,7284,390,0,38,0,0,0,228,0,15,0,0,0,1283,4027,917054,1019893,11,110,35569
MS,4/30/2020,62642,36949,25829,102566,99542,10901483,417,194,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,308151,1771050,0,0,0
MS,5/31/2020,84738,43730,46730,500477,486089,52567143,852,802,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,15961,3714132,0,0,2332
MS,6/30/2020,58252,34490,31631,377696,373279,40677790,396,340,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30810,2675993,0,0,17549
MS,7/31/2020,32720,17231,17103,366478,363484,39894351,162,126,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,53717,2065517,1,1,38012
MS,8/31/2020,14686,8970,9355,353011,338644,37911339,68,42,11075,4060,0,42,0,0,0,53,0,0,0,0,0,59,370,81007,1619500,0,0,47288
MT,4/30/2020,10774,10628,7579,52943,38791,6983768,8287,8287,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389485,0,0,0
MT,5/31/2020,15108,14687,6852,182598,80211,14229119,5238,5238,11348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743877,0,0,0
MT,6/30/2020,11682,10909,3556,188523,89555,15719208,2942,2942,123421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661546,0,0,0
MT,7/31/2020,10687,9554,1931,202345,75063,13162240,2543,2543,109314,0,0,0,0,0,0,0,0,0,0,0,0,170,1709,309538,686682,0,0,0
MT,8/31/2020,8742,8375,686,200912,62510,10718123,2024,2024,199178,0,0,0,0,0,0,0,0,0,0,0,0,3208,42870,7722039,628633,0,0,0
NC,4/30/2020,42808,42808,32582,275893,192318,17508307,0,0,1063,14,0,9,0,5,0,0,0,0,0,0,0,29,30,0,2919400,0,0,0
NC,5/31/2020,111094,108526,95538,918593,823100,117986840,1,1,1063,110,0,7,0,2,0,0,0,0,0,0,0,2204,2909,11905,8167511,7,19,2508
NC,6/30/2020,54338,35060,35799,892576,745140,100953576,4,4,2952,1112,0,10,0,1,0,0,0,0,0,0,0,4193,8123,211102,5169906,293,1086,138807
NC,7/31/2020,49478,29268,27948,869153,784199,106861344,0,0,6124,2150,5,3,0,2,0,0,0,0,0,0,0,6714,13389,437389,4877213,436,1573,187270
NC,8/31/2020,41928,10569,11545,776732,723506,99643949,0,0,10427,2280,4,7,1,3,0,0,0,0,0,0,0,8641,19718,705231,4255969,548,1951,233003
ND,4/30/2020,5541,5541,2583,6024,5994,1354988,5541,5541,30,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1140,94151,0,0,0
ND,5/31/2020,3193,3218,4403,37861,39802,9140831,3132,3155,0,49,0,1,0,1,0,49,0,1,0,1,0,240,642,142902,102188,0,0,0
ND,6/30/2020,3344,3355,1727,35021,34911,8564227,3171,3181,386,222,2,38,1,19,0,203,2,38,1,19,0,292,1469,337910,113770,0,0,0
ND,7/31/2020,1514,1517,691,25859,24823,6064634,1399,1401,1111,369,7,41,7,12,0,323,6,37,6,12,0,166,878,199119,72197,0,0,0
ND,8/31/2020,5290,5294,416,24681,17399,4308686,5289,5293,7282,966,3,292,1,290,0,934,2,283,1,282,0,704,1411,338675,169914,0,0,0
NE,4/30/2020,20987,18265,11172,46741,40129,6945654,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877407,0,0,0
NE,5/31/2020,5183,3856,4707,85830,68373,12675102,0,0,2329,26,0,3,0,0,0,0,0,0,0,0,0,176,0,93871,349748,0,0,0
NE,6/30/2020,5253,438,3012,113822,90428,16543561,0,0,12694,560,0,5,0,0,0,0,0,0,0,0,0,864,4104,284957,402652,2,17,2941
NE,7/31/2020,6422,7,499,110949,50540,9299800,0,0,10166,381,0,9,0,0,0,0,0,0,0,0,0,601,3612,441481,443986,1,6,1038
NE,8/31/2020,4789,6,358,108340,43327,8279124,0,0,6743,296,0,28,0,2,0,0,0,0,0,0,0,472,3148,379288,379530,0,0,0
NJ,4/30/2020,76080,76080,456,64530,2284,618382,57060,57060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2726611,0,0,0
NJ,5/31/2020,290502,290502,228152,1841078,1450212,378883571,217877,217877,0,169,12,68,6,26,1,0,0,0,0,0,0,0,0,0,12710084,0,0,0
NJ,6/30/2020,86360,86360,121275,1782464,1645545,433284236,64770,64770,0,1135,16,439,6,136,1,851,12,329,5,102,1,0,0,0,6645378,0,0,0
NJ,7/31/2020,85525,85525,58237,1822746,1619875,420184957,64144,64144,0,1226,32,920,16,209,0,920,24,690,12,157,0,0,0,0,6821815,0,0,0
NJ,8/31/2020,50978,50978,45460,1788063,1610806,418543817,38234,38234,0,1145,58,852,23,188,2,858,44,639,17,141,2,0,0,0,5709857,0,0,0
NM,3/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM,4/30/2020,16970,16897,8145,48581,40737,10629459,16970,16897,653,3,0,0,0,0,0,3,0,0,0,0,0,7,7,3452,603019,0,0,0
NM,5/31/2020,14941,14934,20158,210480,196967,45326834,14941,14934,3011,49,0,3,0,0,0,49,0,3,0,0,0,35562,35562,6734097,803786,0,0,0
NM,6/30/2020,10299,10254,7748,205760,185667,36362550,10299,10254,3298,163,0,17,0,0,0,163,0,17,0,0,0,20007,20007,5769624,655046,23,23,10565
NM,7/31/2020,14126,14073,11109,311965,291435,54463149,14126,14073,5031,137,4,148,4,0,0,137,4,148,4,0,0,15550,15550,9007659,996137,445,445,275226
NM,8/31/2020,6935,6931,4844,189099,177226,33334491,6935,6931,3177,391,10,297,10,0,0,391,10,297,10,0,0,20247,20247,10278738,588073,1109,1109,682513
NV,4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,5/31/2020,68685,57801,5662,553275,53485,15260811,56233,52945,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153795,0,0,0
NV,6/30/2020,141242,53361,95813,2069737,1267594,323885551,58059,25459,12488,20,0,0,0,0,0,17,0,0,0,0,0,75,541,145410,5963004,0,0,0
NY,3/31/2020,1057,1044,0,952,0,0,403,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,4/30/2020,97900,94708,6072,293053,19706,4130985,57642,56662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3160560,0,0,0
NY,5/31/2020,669021,655841,584943,3612762,2776902,621187936,227639,223876,0,15,0,0,0,0,0,0,0,0,0,0,0,28,89,22928,23788257,1,10,1820
NY,6/30/2020,293750,280894,348553,7308619,7272525,1697669075,84410,80531,0,37,0,0,0,0,0,0,0,0,0,0,0,407,1912,413241,22740256,10,54,9277
NY,7/31/2020,235199,226727,210753,5989735,5957829,1312905294,65691,64292,0,44,1,11,0,2,0,0,0,0,0,0,0,394,2595,551019,18959808,55,181,34699
NY,8/31/2020,156355,148861,130606,7066661,6345059,1373626684,54856,52430,0,76,0,60,0,6,0,0,0,0,0,0,0,571,5894,1008113,19406973,78,298,68443
OH,4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,5/31/2020,203176,203126,144830,1605057,1285435,314558253,94059,94040,32014,0,0,0,0,0,0,0,0,0,0,0,0,302,302,116448,11205837,6,6,7482
OH,6/30/2020,275202,275151,210581,3199634,2862713,642784075,74878,74859,108609,5135,0,0,0,0,0,0,0,0,0,0,0,3058,3058,1923665,17275006,35,35,21615
OH,7/31/2020,268081,268081,146680,1665491,1290226,279986102,33411,33411,54248,0,0,0,0,0,0,0,0,0,0,0,0,93977,93977,64817477,12776731,32,32,24648
OH,8/31/2020,52626,52626,38165,1443149,1294190,276786272,11611,11611,81535,0,0,0,0,0,0,0,0,0,0,0,0,10953,10953,7589893,5613939,0,0,0
OK,3/31/2020,163,146,4,7266,10,2906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20539,0,0,0
OK,4/30/2020,1273,1204,91,8046,204,75204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58339,0,0,0
OK,5/31/2020,14470,11773,6108,74445,34586,11405191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628600,0,0,0
OK,6/30/2020,6804,5402,10973,153422,68240,28783447,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,948,532939,0,0,0
OK,7/31/2020,8781,7500,18607,238061,121478,54711540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,9288,786545,0,0,0
OR,4/30/2020,3678,186,186,2056,711,153867,3678,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112572,0,0,0
OR,5/31/2020,14235,11141,11141,57321,71371,14660522,14235,10675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612528,0,0,0
OR,6/30/2020,14702,10355,10355,103382,119139,24468776,14702,8879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790547,0,0,0
OR,7/31/2020,61043,12924,12924,241524,188494,39147741,61043,9639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2731932,0,0,0
OR,8/31/2020,17619,14368,14368,413387,322106,67025344,17619,10437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2069722,0,0,0
PA,4/30/2020,132163,0,0,4,0,0,96293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2241791,0,0,0
PA,5/31/2020,282930,364030,258120,3153464,2395028,654390271,99155,175028,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9688361,0,0,0
PA,6/30/2020,458762,455379,311202,6759205,5117526,1297907769,128873,128723,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21690890,0,0,0
PA,7/31/2020,685456,682064,318558,9449296,6231341,1543916484,216725,216626,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30578201,0,0,0
PA,8/31/2020,175788,169874,85214,3522269,2935083,693071846,63817,62700,160,799,0,0,0,0,0,250,0,0,0,0,0,2,7,1344,9985132,0,0,0
PR,4/30/2020,542,106,75,434,418,45134,83,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30646,0,0,0
PR,5/31/2020,52527,82602,63660,463939,420222,28765440,540,564,45908,0,0,0,0,0,0,0,0,0,0,0,0,30,174,13659,4346802,0,0,0
PR,6/30/2020,121472,122693,119343,1714045,1736108,17183417,87,92,94676,0,0,0,0,0,0,0,0,0,0,0,0,78,458,44104,5993165,0,0,0
PR,7/31/2020,92512,100038,91596,2018164,1928966,29500428,50,54,135166,0,0,0,0,0,0,0,0,0,0,0,0,177,1499,113365,5839477,0,0,0
PR,8/31/2020,24779,43795,41281,1259815,1305951,87977871,6,13,84593,0,0,0,0,0,0,0,0,0,0,0,0,202,2107,146133,2850805,0,0,0
RI,4/30/2020,32896,32828,25715,54080,53137,16210264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311603,0,0,0
RI,5/31/2020,17257,17169,43302,157067,152076,40144485,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,35,57,19733,995561,1,1,183
RI,6/30/2020,13867,13816,50969,213816,207820,51980499,0,0,0,11,0,16,0,2,0,0,0,0,0,0,0,90,228,67257,974306,0,0,0
RI,7/31/2020,43360,43289,72196,222475,213851,50993018,0,0,0,11,0,13,0,13,0,0,0,0,0,0,0,160,393,108017,2004538,32,52,10396
RI,8/31/2020,91510,91440,78835,274642,244100,56591704,0,0,0,20,0,6,0,0,0,0,0,0,0,0,0,134,359,74586,3730776,42,77,13567
SD,4/30/2020,1,1,1,2,2,344,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0
SD,5/31/2020,2887,2887,2887,11427,11427,1961787,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1544,161563,0,0,0
SD,6/30/2020,1785,1785,1785,20727,20727,3663521,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,40,40,19920,127912,0,0,0
SD,7/31/2020,553,553,553,17144,17144,3069764,0,0,0,65,0,1,0,0,0,0,0,0,0,0,0,56,56,57508,64891,0,0,0
SD,8/31/2020,547,547,547,19390,19390,3609453,0,0,0,71,0,18,0,2,0,0,0,0,0,0,0,134,134,153586,73508,0,0,0
TN,3/31/2020,8,52,0,277,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,0,0
TN,4/30/2020,73819,59599,40500,156666,121996,14663872,12940,4253,126,18,0,9,0,0,0,2,0,1,0,0,0,1,1,120,1742569,0,0,0
TN,5/31/2020,22332,29446,29606,383107,361406,50959810,7746,13473,530,176,0,132,0,0,0,20,0,3,0,0,0,28,56,6404,1103865,1,2,404
TN,6/30/2020,24146,21468,19291,488482,451128,63934006,10197,8950,886,165,0,28,0,0,0,40,0,2,0,0,0,67,216,28219,1305309,8,47,6570
TN,8/31/2020,17342,2704,3861,612725,448044,64476007,1,1,1996,203,0,71,0,21,0,2,0,7,0,4,0,72,590,86360,1442898,51,585,98677
TX,4/30/2020,380118,318336,154988,461184,479842,100656357,230712,191456,29433,153,0,0,0,0,0,108,0,0,0,0,0,128,266,43597,9600674,0,0,0
TX,5/31/2020,196597,187849,219001,1599314,1524982,320687394,132753,126839,83739,596,0,1,0,0,0,389,0,0,0,0,0,3008,7099,440407,7306263,2,9,475
TX,6/30/2020,140531,110193,124737,2098242,2019304,412855253,53676,52050,116835,144,0,4,0,0,0,104,0,3,0,0,0,3878,11748,43384,6865751,1,2,278
TX,7/31/2020,119111,76702,87620,2481318,2437229,497383571,3096,2196,139910,139,0,42,0,38,0,76,0,22,0,19,0,3470,13386,450798,7033501,0,0,0
TX,8/31/2020,77142,47858,69862,2455979,2344313,756367315,2067,1498,112460,566,1,64,0,45,0,473,1,62,0,44,0,7058,32482,375610,6020360,0,0,0
UT,2/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,3/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,4/30/2020,17935,662,497,39623,2287,564611,5652,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774132,0,0,0
UT,5/31/2020,10414,5556,4574,89208,34622,8926170,2307,2636,15312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574135,0,0,0
UT,6/30/2020,7268,7269,2713,95087,80095,19867758,1516,3328,51400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471861,0,0,0
UT,7/31/2020,5772,2589,2852,87044,64277,15422504,1311,1227,31787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411416,0,0,0
UT,8/31/2020,3566,494,508,63580,34450,8450684,555,261,20745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276016,0,0,0
VI,1/31/2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VI,2/29/2020,66,66,0,0,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0,0,0
VI,3/31/2020,1039,1038,0,0,0,0,809,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8595,0,0,0
VI,4/30/2020,401,392,0,0,0,0,270,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3501,0,0,0
VI,5/31/2020,284,276,0,0,0,0,233,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2480,0,0,0
VI,6/30/2020,125,120,0,0,0,0,86,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,0,0,0
VI,7/31/2020,66,62,14,0,228,62765,47,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0
VI,8/31/2020,125,120,0,0,0,0,86,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997,0,0,0
WA,4/30/2020,247542,219017,92749,657052,474353,114254541,74418,61975,3641,1608,0,0,0,0,0,580,0,0,0,0,0,87,172,68444,9454308,0,0,0
WA,5/31/2020,151229,152213,83994,1136509,1105934,279887237,23912,32788,165452,2466,0,2,1,0,1,643,0,0,0,0,0,16776,88508,33264470,7433673,0,0,0
WA,6/30/2020,34812,34391,19174,860949,687545,163986822,7560,8866,69268,539,0,17,1,7,0,135,0,3,0,2,0,2898,20773,5808503,3216887,1,8,282
WA,7/31/2020,27345,28757,20752,808491,746655,186417832,4366,5210,76599,542,0,50,3,31,0,109,0,10,0,8,0,946,5347,1274842,2986468,5,45,331
WI,4/30/2020,43585,0,0,0,0,0,30887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853368,0,0,0
WI,5/31/2020,23887,896,709,5781,5643,1057197,11738,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476037,0,0,0
WI,6/30/2020,13044,7809,6286,70133,62807,11805676,5009,7523,9,11,0,0,0,0,0,6,0,0,0,0,0,1,1,163,357842,0,0,0
WI,7/31/2020,13298,28383,17269,295364,242031,44545108,5382,23827,81,64,0,1,0,0,0,5,0,1,0,0,0,17,71,12833,765390,0,0,0
WI,8/31/2020,9697,10933,7780,233892,182133,33661648,3657,6998,80,1138,2,126,0,10,0,28,0,17,0,3,0,109,201,27700,612713,0,0,0
WV,4/30/2020,14254,0,0,0,0,0,9930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329168,0,0,0
WV,5/31/2020,19507,29327,19750,261179,162404,28353903,6045,14392,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922596,0,0,0
WV,6/30/2020,54716,0,11668,457149,161421,28340139,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2142263,0,0,0
WV,7/31/2020,25136,424,395,255311,45405,7361698,6387,252,135,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109779,0,0,0
WY,4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,5/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,6/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,7/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
